,user_id_str,type
0,1651882188,"['locality', 'political'] ['neighborhood', 'political']"
1,1651882188,"['locality', 'political'] ['neighborhood', 'political']"
2,14282045,"['route'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment'] ['transit_station', 'point_of_interest', 'establishment'] ['locality', 'political']"
3,7376602,"['route'] ['locality', 'political']"
4,37575049,"['locality', 'political'] ['neighborhood', 'political']"
5,37575049,"['locality', 'political'] ['point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
6,14397810,"['locality', 'political'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['atm', 'finance', 'point_of_interest', 'establishment'] ['atm', 'finance', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
7,191738379,"['locality', 'political'] ['clothing_store', 'store', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
8,14282045,"['route'] ['point_of_interest', 'establishment'] ['locality', 'political']"
9,53541705,"['route'] ['locality', 'political']"
10,14397810,"['route'] ['store', 'point_of_interest', 'establishment'] ['jewelry_store', 'store', 'point_of_interest', 'establishment'] ['lodging', 'point_of_interest', 'establishment'] ['clothing_store', 'store', 'point_of_interest', 'establishment']"
11,62536337,"['locality', 'political'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment']"
12,14397810,"['locality', 'political'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['bakery', 'store', 'food', 'point_of_interest', 'establishment'] ['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment'] ['store', 'point_of_interest', 'establishment']"
13,62536337,"['locality', 'political'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
14,55498924,no coordinate
15,7376602,"['route'] ['locality', 'political']"
16,96273306,"['locality', 'political'] ['neighborhood', 'political']"
