,sentiment,weekday,hour,weekday_hour
42,1,0,0,0_0
80,1,0,0,0_0
101,1,0,0,0_0
20,1,0,0,0_0
7,1,0,0,0_0
23,2,0,0,0_0
60,2,0,0,0_0
19,1,0,0,0_0
30,1,0,0,0_0
128,1,0,0,0_0
29,1,0,0,0_0
1,2,0,0,0_0
36,2,0,0,0_0
32,2,0,0,0_0
54,1,0,0,0_0
13,2,0,0,0_0
65,2,0,0,0_0
40,1,0,0,0_0
72,1,0,0,0_0
8,1,0,1,0_1
31,2,0,3,0_3
60,2,0,6,0_6
7,2,0,7,0_7
76,2,0,7,0_7
100,2,0,7,0_7
18,2,0,7,0_7
62,2,0,7,0_7
124,2,0,7,0_7
30,2,0,7,0_7
66,2,0,7,0_7
55,2,0,7,0_7
13,2,0,7,0_7
5,2,0,7,0_7
11,2,0,7,0_7
40,2,0,7,0_7
180,1,0,8,0_8
86,2,0,8,0_8
104,1,0,8,0_8
27,2,0,8,0_8
88,2,0,8,0_8
187,1,0,8,0_8
101,1,0,8,0_8
128,1,0,8,0_8
3,1,0,8,0_8
17,1,0,8,0_8
82,2,0,8,0_8
28,2,0,8,0_8
31,1,0,8,0_8
49,1,0,8,0_8
46,2,0,8,0_8
95,1,0,8,0_8
154,1,0,8,0_8
148,1,0,8,0_8
127,1,0,8,0_8
24,2,0,8,0_8
37,1,0,8,0_8
43,2,0,8,0_8
35,1,0,9,0_9
189,2,0,9,0_9
119,2,0,9,0_9
44,2,0,9,0_9
99,1,0,9,0_9
2,1,0,9,0_9
108,2,0,9,0_9
55,1,0,9,0_9
70,1,0,9,0_9
23,1,0,9,0_9
66,1,0,9,0_9
48,1,0,9,0_9
15,1,0,9,0_9
48,1,0,9,0_9
69,1,0,9,0_9
13,1,0,9,0_9
35,1,0,9,0_9
40,1,0,9,0_9
32,1,0,9,0_9
31,2,0,9,0_9
309,1,0,9,0_9
4,2,0,9,0_9
26,1,0,9,0_9
40,1,0,9,0_9
2,1,0,9,0_9
113,1,0,9,0_9
106,1,0,9,0_9
101,1,0,9,0_9
81,1,0,9,0_9
242,1,0,9,0_9
17,2,0,9,0_9
2,1,0,9,0_9
86,1,0,9,0_9
80,1,0,9,0_9
70,2,0,9,0_9
5,1,0,9,0_9
249,1,0,9,0_9
78,1,0,9,0_9
32,1,0,10,0_10
63,1,0,10,0_10
128,2,0,10,0_10
168,2,0,10,0_10
79,1,0,10,0_10
277,2,0,10,0_10
132,2,0,10,0_10
128,1,0,10,0_10
28,1,0,10,0_10
63,1,0,10,0_10
88,2,0,10,0_10
78,0,0,10,0_10
5,2,0,10,0_10
86,1,0,10,0_10
161,0,0,10,0_10
165,1,0,10,0_10
39,2,0,10,0_10
27,2,0,10,0_10
2,2,0,11,0_11
5,1,0,11,0_11
113,1,0,11,0_11
32,2,0,11,0_11
39,1,0,11,0_11
160,1,0,11,0_11
166,1,0,11,0_11
156,2,0,11,0_11
39,1,0,12,0_12
160,1,0,12,0_12
42,2,0,12,0_12
129,1,0,12,0_12
115,2,0,12,0_12
159,1,0,12,0_12
61,2,0,12,0_12
155,1,0,12,0_12
62,2,0,12,0_12
129,2,0,12,0_12
66,2,0,12,0_12
152,2,0,12,0_12
146,2,0,12,0_12
77,2,0,12,0_12
50,2,0,12,0_12
44,2,0,12,0_12
187,1,0,12,0_12
39,2,0,12,0_12
63,2,0,12,0_12
100,1,0,12,0_12
55,2,0,12,0_12
190,1,0,12,0_12
69,1,0,12,0_12
143,1,0,12,0_12
205,1,0,12,0_12
28,1,0,13,0_13
170,1,0,13,0_13
127,1,0,13,0_13
32,1,0,13,0_13
72,1,0,13,0_13
30,1,0,13,0_13
17,2,0,13,0_13
19,1,0,13,0_13
47,2,0,13,0_13
41,1,0,13,0_13
101,2,0,13,0_13
97,2,0,13,0_13
154,1,0,13,0_13
60,1,0,13,0_13
55,2,0,13,0_13
193,2,0,13,0_13
41,1,0,13,0_13
130,1,0,13,0_13
58,2,0,13,0_13
203,1,0,13,0_13
22,1,0,13,0_13
3,1,0,13,0_13
47,1,0,13,0_13
33,1,0,13,0_13
100,1,0,13,0_13
23,1,0,13,0_13
49,2,0,13,0_13
28,2,0,13,0_13
81,1,0,13,0_13
49,1,0,13,0_13
0,2,0,13,0_13
107,1,0,14,0_14
84,1,0,14,0_14
80,2,0,14,0_14
149,1,0,14,0_14
107,2,0,14,0_14
54,2,0,14,0_14
95,1,0,14,0_14
70,1,0,14,0_14
18,1,0,14,0_14
146,2,0,14,0_14
51,2,0,14,0_14
77,1,0,14,0_14
97,2,0,14,0_14
95,2,0,14,0_14
11,1,0,14,0_14
94,1,0,15,0_15
127,1,0,15,0_15
101,2,0,15,0_15
185,1,0,15,0_15
22,2,0,15,0_15
12,2,0,15,0_15
29,1,0,15,0_15
100,1,0,15,0_15
122,1,0,15,0_15
3,2,0,15,0_15
223,1,0,15,0_15
107,1,0,15,0_15
12,2,0,15,0_15
208,1,0,15,0_15
48,2,0,15,0_15
113,2,0,15,0_15
38,2,0,15,0_15
50,0,0,15,0_15
104,2,0,15,0_15
114,2,0,16,0_16
80,1,0,16,0_16
80,1,0,16,0_16
146,1,0,16,0_16
66,1,0,16,0_16
205,1,0,16,0_16
29,1,0,16,0_16
32,1,0,16,0_16
120,1,0,16,0_16
21,2,0,16,0_16
192,0,0,16,0_16
112,2,0,16,0_16
215,2,0,16,0_16
29,1,0,16,0_16
30,1,0,16,0_16
181,2,0,16,0_16
120,2,0,16,0_16
159,2,0,16,0_16
113,1,0,16,0_16
17,2,0,16,0_16
155,1,0,16,0_16
193,1,0,16,0_16
84,1,0,16,0_16
152,1,0,16,0_16
158,1,0,16,0_16
112,1,0,16,0_16
24,1,0,16,0_16
97,1,0,16,0_16
153,2,0,16,0_16
106,1,0,16,0_16
7,1,0,16,0_16
20,2,0,16,0_16
4,2,0,16,0_16
36,1,0,16,0_16
187,2,0,16,0_16
112,2,0,17,0_17
153,0,0,17,0_17
18,2,0,17,0_17
20,2,0,17,0_17
63,1,0,17,0_17
83,1,0,17,0_17
97,1,0,17,0_17
25,1,0,17,0_17
101,1,0,17,0_17
2,1,0,17,0_17
50,2,0,17,0_17
88,1,0,17,0_17
194,2,0,17,0_17
181,1,0,17,0_17
25,1,0,17,0_17
187,1,0,17,0_17
148,2,0,17,0_17
15,1,0,17,0_17
207,2,0,17,0_17
130,1,0,17,0_17
15,2,0,17,0_17
186,1,0,17,0_17
158,1,0,17,0_17
30,2,0,17,0_17
127,1,0,17,0_17
101,1,0,17,0_17
9,1,0,17,0_17
99,1,0,17,0_17
168,1,0,17,0_17
63,1,0,17,0_17
283,1,0,17,0_17
251,1,0,17,0_17
198,1,0,18,0_18
162,1,0,18,0_18
148,2,0,18,0_18
207,1,0,18,0_18
132,1,0,18,0_18
115,1,0,18,0_18
162,1,0,18,0_18
182,1,0,18,0_18
187,1,0,18,0_18
82,1,0,18,0_18
13,2,0,18,0_18
144,1,0,18,0_18
94,1,0,18,0_18
162,1,0,18,0_18
243,1,0,18,0_18
88,2,0,18,0_18
150,1,0,18,0_18
95,1,0,18,0_18
43,1,0,18,0_18
96,1,0,18,0_18
100,1,0,18,0_18
86,1,0,18,0_18
10,2,0,18,0_18
17,1,0,18,0_18
153,2,0,18,0_18
125,1,0,18,0_18
191,1,0,18,0_18
122,2,0,18,0_18
10,1,0,18,0_18
47,1,0,18,0_18
160,2,0,18,0_18
42,2,0,18,0_18
135,1,0,18,0_18
156,2,0,18,0_18
52,1,0,18,0_18
103,1,0,18,0_18
155,1,0,18,0_18
8,1,0,18,0_18
77,2,0,18,0_18
168,1,0,18,0_18
180,1,0,18,0_18
107,2,0,19,0_19
35,1,0,19,0_19
118,1,0,19,0_19
205,1,0,19,0_19
197,1,0,19,0_19
10,0,0,19,0_19
87,1,0,19,0_19
127,1,0,19,0_19
169,1,0,19,0_19
66,1,0,19,0_19
35,2,0,19,0_19
122,1,0,19,0_19
180,1,0,19,0_19
31,1,0,19,0_19
150,1,0,19,0_19
134,2,0,19,0_19
192,1,0,19,0_19
147,0,0,19,0_19
155,2,0,19,0_19
148,1,0,19,0_19
189,1,0,19,0_19
119,2,0,19,0_19
10,1,0,19,0_19
2,1,0,19,0_19
32,1,0,19,0_19
48,1,0,19,0_19
88,1,0,19,0_19
1,2,0,19,0_19
150,2,0,19,0_19
38,2,0,19,0_19
123,0,0,19,0_19
15,1,0,19,0_19
215,1,0,19,0_19
169,1,0,19,0_19
208,2,0,19,0_19
51,1,0,19,0_19
132,1,0,19,0_19
123,2,0,20,0_20
106,1,0,20,0_20
81,1,0,20,0_20
130,1,0,20,0_20
20,2,0,20,0_20
40,1,0,20,0_20
28,1,0,20,0_20
234,1,0,20,0_20
39,1,0,20,0_20
63,1,0,20,0_20
163,1,0,20,0_20
