,sentiment scheme1,sentiment scheme2,cleaned_text
0,1,1,it s thursday ruby tuesday in causeway bay
1,1,1,lunch in american pacific place sad salad
2,1,1,user self explosive you have both repeat kowloon railway station bus terminus
3,1,1,i be at tong dan powder noodle expert
4,1,1,i be at in central
5,1,1,go to the bathroom at user in causeway bay
6,1,1,snail powder snail sea snail noodle with marinated bamboo shoot pork dry
7,1,1,bella know how to put on the child headset by herself 🎧 😂 😂 😂 😂 😂 repeat travel man man
8,1,1,just post a photo central mid level escalator and walkway system
9,1,1,i be at mong kok station in mong kok
10,1,2,🌟 🌟 🌟 🌟 canton road
11,1,1,join the team see our late job open here project hong kong hire career arc
12,1,2,grilled duck breast with turnip and crispy peanut repeat l atelier de
13,1,1,we be hire read about our late job open here assistant officer product development marketing
14,2,2,feel more than happy repeat lulu bar and restaurant
15,1,1,we be hire read about our late job open here commercialization manager legal
16,2,2,finally get the st john first aid exam do and thank you god every be an piece of cake
17,1,1,kennedy town sea road
18,1,1,just post a photo avenue of star hong kong
19,1,1,wind back in time repeat tour tai po train heritage train museum tai po market
20,1,2,hello another birthday celebration in ming court of hotel place
21,1,1,i be at user in wan chai
22,1,2,where to go next 😈 u u u causeway bay
23,1,2,one brother and two brother i know you for six year i will make trouble every year but i will talk to me all the time i will talk to you when there be an anecdote i will talk to you when i have i will exaggerate myself to do it your six company be just like the same
24,1,2,balance work and life with user 🏊 ed ed have such a wonderful stay here i could not ask for
25,1,2,gorgeous it girl hong kong party legend at art central
26,1,1,walk around in wan chai
27,1,2,happy sunday car collision rainy day central
28,1,2,not sure why so happy here perhaps because i survive that cross 😁 u c 🌏 hong kong central
29,1,1,time temp c hum percent c bar rain today
30,1,2,if you be look for work in hong kong check out this job hire career arc
31,1,1,i be at flower market in mong kok
32,1,1,nordic din bakery danish in hong kong
33,1,2,open new wood this time try to make teak this time will recreate the original style of the original da new case production will make it very close to my original
34,1,1,chicken restaurant lounge
35,1,1,join the team see our late job opening here legal hong kong hire career arc
36,1,1,join the standard charter bank team see our late job open here it hong kong hire career arc
37,1,2,the heat be on cityscape hong kong east hong kong
38,1,1,i be at sake masu wine department in van chai hong kong
39,1,1,road be make for journey not destination 😉 nathan road kowloon
40,1,1,time temp c hum percent c bar rain today date
41,1,2,museum of the moon lee tung street
42,1,1,this job might be a great fit for you credit manager account hong kong hire career arc
43,1,2,home for the rest of the month i completely out apparently because everyone be
44,1,2,this season bazaar have a lot of good within money and the style be also good what do you want to buy in the film bazaar harbour city bazaar sport sport sale
45,1,2,game insane user bravo little hong kong food travel
46,1,2,a cup of chilled alcohol summer drink happy hour by
47,1,2,star ferry star ferry pier central
48,2,2,rafael and 😍 😍 world wide house
49,1,1,can you recommend anyone for this job analyst team finance hong kong hire career arc
50,1,1,nail nail user nice nail idea user book us at
51,1,1,new line for private show cute stuff must buy
52,1,1,lunch cheung sha wan plaza ying restaurant
53,1,1,👯 victoria harbour victoria harbour hong kong
54,1,1,want to work at we be hire in hong kong click for detail finance job job career arc
55,1,2,i be out run with
56,1,2,causeway bay lee garden season by olivier e sunday brunch once you get enough hong kong people be the most affected extravaganza at sunday brunch of
57,1,1,interested in a job in hong kong this could be a great fit it hire career arc
58,1,1,believe there be bad in the best over sa tamis lunch break food trip
59,1,2,affordable art fair hong kong convention and exhibition in wan chai hong kong
60,1,1,time temp c hum percent c bar rain today
61,1,1,join the team see our late job open here internship hong kong hire career arc
62,1,1,time temp c hum percent c bar rain today
63,1,1,i be at hong kong international airport user in hong kong
64,1,1,my thesis film be now feature on my university s showcase site sad
65,1,1,year ago fresh high school dropout with nothing but a fake id i go to get
66,1,2,for six year i use to be the enemy of the left when you be the enemy when you be the enemy but in the end i will sum up you in the best friend series usually you talk so much good gossip
67,1,2,all tap and ready to pour user tap craft beer
68,2,2,food on sunday be like a remedy to me repeated ivory bill woodpecker purple rice quinoa
69,1,2,look who s back repeat our burgundy wine from the de moor may you prefer or
70,1,1,🔺 mall hong kong international finance mall
71,1,1,here be the one with no filter no filter haircut barbershop hong kong the duke s
72,1,1,want to work in hong kong view our late open it job job hire career arc
73,1,1,buy a middle school meal today to go to the flora and fauna park picnic pauline good word 😂 hong kong kennedy road lunch box
74,1,2,money for what you see here that s what we will call a good deal special available from
75,1,2,this building be so worthy 😍 hong kong cultural
76,1,1,can you recommend anyone for this job manager portfolio analyst investment banking hong kong hire
77,1,2,to my fitness coach who allow me to eat pretty much everything love you happy birthday
78,1,1,i just finish walk in m s with
79,1,1,time temp c hum percent c bar rain today
80,2,2,i have die and go to heaven repeated repeat
81,1,2,what s the way to end your week spend it with us in friday repeat c la
82,1,2,love yourself and spoil it 😉 secret victoria s secret
83,1,2,u u u lazy weekend no study m g
84,1,2,i be fabulous u 🔙 🎧 🎙 🎵 🎼 🎶 🐄 u a 😂 😇 😘 u i be fabulous highness of pop pop culture pop music
85,2,2,thanks for invitation to candy lo s concert last night full hall and good show bighorn rhino
86,1,1,we be hire read about our late job open here sale supervisor sale career arc
87,1,1,station hang hom station hung hom hong hum train station
88,1,2,loom loop and yao music academy be go to present you a music performance at our pop up
89,2,2,i may not like mango so much but this mango coconut tapioca really hit the spot 💛
90,1,1,sign edition for series spectrum manner lead art artist proof sacred geometry
91,1,1,time temp c hum percent c bar rain today
92,1,2,thousand year egg be as popular if not more than roost the house signature dish
93,1,2,we re thrill that our partner mani cure studio by have be award
94,1,1,time temp c hum percent c bar rain today
95,1,1,we be hire read about our late job open here trade executive visual channel repeat
96,1,1,i be at lan kwai fong lan kwai fong in central
97,1,2,i like this with seasonal french cherry and fresh almond fragrant roast pigeon with red cabbage head with port wine pigeon roast thigh candy variation of beet and
98,1,1,just post a photo hotel
99,1,2,😁 😋 🎠 🎡 🎢 🎪 🎭 😁 😋 🎠 🎡 🎢 🎪 🎭 😁 😋 🎠 🎡 🎢 🎪 🎭 😁 😋 🎠 🎡 🎢 🎪 🎭 😁 😋 🎠 🎡 🎢 🎪 🎭 😁 😋 🎠 🎡 🎢 🎪 🎭 😁 😋 🎠 🎡 🎢 🎪 🎭 the that great european carnival continental carnival
100,1,1,i be at panda hotel in tsuen wan
101,1,1,i be at tsui wah restaurant in central
102,1,1,this job might be a great fit for you solution account director enterprise sale hong kong hire
103,1,2,our late barrel age imperial stout series u u u hak mo sheung percent bourbon ba be punchy but
104,1,2,golden palace in a modern city 💛 🏰 happy wanderlust escape nan garden
105,1,1,just post a photo ocean park hong kong
106,1,1,living room museum
107,1,2,helen s birthday drink the cottage in sheung wan
108,1,1,love yourself be now trend in hong kong
109,1,2,we re on top of the world 🍸 🤗 🍷 well at least in hong kong 🏙 travel friendship goal ess ca
110,1,2,more lantern from hong kong it s be such a beautiful day here in somerset we
111,1,2,one do not simply leave hong kong without have pineapple bun with custard filling 😍 💯 😋
112,2,2,joyful in the presence of dear and friend at user stand in
113,1,1,hong kong youth hotel american thanksgiving offer american thanksgiving day special offer date thursday
114,1,2,🌺 u u b u u 🌺 love these baby cabbage floret with ham with a tasty turnip underneath each
115,1,2,christmas smile merry christmas xmas christmas ornament christmas gift
116,1,2,what a great start of our holiday repeat business class for free hong kong international
117,1,1,time temp c hum percent c bar rain today
118,2,2,love it 😍 😍 wan chai
119,1,1,time temp c hum percent c bar rain today
120,1,1,time temp c hum percent c bar rain today
121,1,1,season s greeting by me my most precious repeat happy holiday happy holiday
122,2,2,and repeat u u u
123,1,1,date angel exordium in hong kong exordium in world
124,1,2,sweet baby girl repeat 💖 berlin effort love happy baby girl wan
125,1,1,jin be now trend in hong kong
126,1,1,i be at user in central hong kong
127,1,2,happy earth day do you replace plastic straw in your bar user plant base
128,1,2,gemini new moon best time to refresh your mind may the mercury rule new moon you
129,1,1,catch up with be always a blast good pad thai to go along with it just make it
130,1,2,blend in the mirror and dance on your own time square hong kong
131,1,1,come to get our free gift on our grand opening day user yam
132,1,2,thank you so much for the hamper x lohan production repeat
133,1,1,john propose mixed model of new territory development for villager and general public
134,1,1,see our late hong kong job and click to apply specialist director audit service finance
135,1,2,😋 💪 ed ed healthy 💪 ed ed 🍆 🥕 🥗 lunch 🐟 🍚 🤘 ed ed ae kasa
136,1,1,every time i count i have to wait for a few truck repeat 🚈
137,1,1,i be at place in mong kok
138,1,1,i be at panda coffee room in tsuen van
139,1,2,reward myself a large cup of percent natural coconut for
140,1,1,just look honest apple store in sha tin
141,1,1,just post a photo main building
142,1,2,chinese new year mood ed ed ed ed hong kong chinese new year lee tung street
143,1,1,time be a river which sweep me along but i be the river it be a tiger which destroy me but
144,1,0,i get it so when u r pay money for an alarm clock they get to mess with your mind a
145,1,1,at it repeat user street mural s street art street style
146,2,2,morning repeat off to repeat early ferry a sweet sun dress to hide my really repeat about to kick
147,1,1,time temp c hum percent c bar rain today
148,1,1,time temp c hum percent c bar rain today
149,1,1,avenue of star tsim sha tsui
150,1,0,feeling of disappointment can either drown you or shape you u a u the peak tram the peak hong
151,1,1,see our late hong kong job and click to apply director investment product management finance
152,1,1,society hong kong wan chai district
153,1,1,at lan kwai fong lan kwai fong lan kwai fong pic
154,2,2,that painful smile repeat th train with the medium team same route as the st
155,1,1,lunch in wan chai u u u bib n hop
156,1,1,🐗 the landmark louis
157,1,1,we be hire read about our late job open here product marketing manager
158,1,2,yesterday s body attack in be epic fun repeat thanks for the love pure fitness
159,1,1,i be at hang hom station in hung hom
160,1,2,tomorrow back to ed ed ed ed be enjoy my life fat girl
161,1,1,window central government complex
162,1,1,drummer between rehearsal in front of map statue in comic book alley comic comic con
163,1,1,i be at mall in yuen long hong kong
164,1,1,i be at causeway bay station in causeway bay
165,1,2,what i expect on this joint fry week age pork meat totally tender and
166,1,2,my baby be so grown up now even tall than me 😩 last day hong kong ocean park ocean park
167,1,1,take a break repeat a shopping break 😉 hong kong tsim sha tsui hong kong
168,1,1,no it be not it be not the opera house this be my vitamin sea star ferry pier
169,1,1,i be at mong kok station in mong kok
170,2,2,to lorraine and joseph repeat happy marriage repeat this also mark
171,1,1,oh my gosh 😍 get these new year s gift from my love u u so sweet 😘
172,1,2,look like i be about to drop an album about life travel photo of the day
173,1,1,want to work at standard charter bank we be hire in hong kong click for detail it job job career arc
174,2,2,live happy 😍 hong kong
175,1,1,time temp c hum percent c bar rain today
176,1,1,i be at general assembly in hong kong
177,1,1,i be at food expression modern cooking in central hong kong
178,1,2,my cucumber be change from a flower to a melon how many time do i have food flour new century plaza
179,1,0,you swim to the ghost it really cost me a lot of time swim coach gloomy eye actually just in the face ho man tin swim pool
